"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\RegisterForm.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\UpdateProfile.ts", "TypeScript", 29, 0, 0, 0, 3, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\page.tsx", "TypeScript JSX", 0, 0, 37, -1, 1, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Popular\page.tsx", "TypeScript JSX", 0, 0, 10, 2, 1, 13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts", "TypeScript", 14, 0, 0, 0, 6, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\BestCategory.tsx", "TypeScript JSX", 0, 0, 11, 0, 1, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\UserCart.tsx", "TypeScript JSX", 0, 0, -2, 0, -1, -3
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Input.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 43
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 13, 0, 3, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserAuth.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserProfile.tsx", "TypeScript JSX", 0, 0, -27, 0, -5, -32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\product\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\BestCategory.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\store\User.ts", "TypeScript", 18, 0, 0, 2, 7, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\user\AppearanceTab.tsx", "TypeScript JSX", 0, 0, 57, 0, 7, 64
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\user\EditProfileForm.tsx", "TypeScript JSX", 0, 0, 48, 0, 6, 54
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\user\OrdersTab.tsx", "TypeScript JSX", 0, 0, 10, 0, 3, 13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\user\ProfileTab.tsx", "TypeScript JSX", 0, 0, 93, 0, 11, 104
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, -1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package-lock.json", "JSON", 0, 68, 0, 0, 0, 68
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tailwind.config.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"Total", "-", 79, 69, 299, 3, 45, 495