"filename", "language", "TypeScript JSX", "JavaScript", "TypeScript", "JSON with Comments", "XML", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\accordion.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\button.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\checkbox.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\dropdown-menu.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 0, 19, 201
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\file-upload.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 0, 12, 194
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\label.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\pagination.tsx", "TypeScript JSX", 107, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\radio-group.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\select.tsx", "TypeScript JSX", 146, 0, 0, 0, 0, 0, 0, 0, 0, 15, 161
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\skeleton.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\toast.tsx", "TypeScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 13, 127
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\toaster.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\hooks\use-toast.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__mocks__\FileMock.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\page.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\snapshot.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\AuthCheck.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\Form.tsx", "TypeScript JSX", 127, 0, 0, 0, 0, 0, 0, 0, 0, 14, 141
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\LoginImage.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\RegistrationForm.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 0, 0, 0, 0, 20, 169
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthOnline.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthStyle.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\IconSide.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\Input.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\LoginWrapper.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\ProductCategory.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Login\Login_Form.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\SignUp\SignUp_Form.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\Form.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\RegisterForm.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\UpdateProfile.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\page.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\Verification\page.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\Verification\verified.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 14, 1, 2, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\HomePageUi.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\NavBar.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 0, 0, 0, 13, 8, 116
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\Theme-provider.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Menu.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\NavMenu.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\OptionWrapper.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\PageWrapper.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Profile.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Theme.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\HeroSection.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\State Handlers\StateHnadler.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\QueryProvider.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Analytics\page.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\BoxItem.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Button.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Category.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Input.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\NavBar.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 0, 1, 20, 156
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\NavItem.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\textArea.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\AddProduct.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\HomePage.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductDetails.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductImages.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Ratings.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 4, 9, 49
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Size.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Condition.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\CropUtils.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Draft.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\InStock.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\LoadingSchedule.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\Pinwheel.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\SquareLoading.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx", "TypeScript JSX", 112, 0, 0, 0, 0, 0, 0, 0, 0, 20, 132
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OutofStock.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OverallStorage.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\PackageSize.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Pricing.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx", "TypeScript JSX", 219, 0, 0, 0, 0, 0, 0, 0, 36, 45, 300
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 2, 19, 203
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Schedule.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 2, 7, 32
